Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
TUBSAT-N,试管卫星N,Technical University of Berlin,Germany,8.5 kg,7/7/98,"Reentered, Was operational",Store and forward communication.,sat/tubsat-n.html,https://www.nanosats.eu/sat/tubsat-n.html,
TUBSAT-N1,试管卫星N1,Technical University of Berlin,Germany,3 kg,7/7/98,"Reentered, Was operational",Store and forward communication.,sat/tubsat-n1.html,https://www.nanosats.eu/sat/tubsat-n1.html,
"Artemis JAK (MASat, Picosat 5)",微缩业余卫星,Santa Clara University,US,0.2 kg,1/27/00,No signal,Simple beacon transmitter.,sat/artemis-jak.html,https://www.nanosats.eu/sat/artemis-jak.html,
"Artemis Louise (Lightning, Picosat 8)",路易斯号,Santa Clara University,US,0.895 kg,1/27/00,No signal,Research the effects of lightning on the outer ionosphere.,sat/artemis-louise.html,https://www.nanosats.eu/sat/artemis-louise.html,
"Artemis Thelma (Thunder, Picosat 7)",特尔玛号,Santa Clara University,US,0.6 kg,1/27/00,No signal,Research the effects of lightning on the outer ionosphere.,sat/artemis-thelma.html,https://www.nanosats.eu/sat/artemis-thelma.html,
ASUSat 1 (Arizona State University Satellite),亚利桑那州立大学卫星,Arizona State University,US,6 kg,1/27/00,Was operational,Educational space systems engineering and Earth imaging.,sat/asusat-1.html,https://www.nanosats.eu/sat/asusat-1.html,
"MEMS 1A (Pico 21, PICOSAT-1, OPAL PICOSATS)",微电子系统皮卫星1A,DARPA,US,0.275 kg,1/27/00,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,sat/mems.html,https://www.nanosats.eu/sat/mems.html,
StenSat (Picosat 6),斯坦豪斯卫星,Stensat Group,US,0.2 kg,1/27/00,No signal,Voice repeater for amateur radio operators.,sat/stensat.html,https://www.nanosats.eu/sat/stensat.html,
SNAP-1 (Surrey Nanosatellite Applications Platform),萨里纳卫星应用平台1号,Surrey Satellite Technology,UK,6.5 kg,6/28/00,Was operational,"SNAP-1 nanosatellite, weighing 6.3kg, had a number of firsts, including what we believe to be the first nanosat with propulsion.",sat/snap-1.html,https://www.nanosats.eu/sat/snap-1.html,
Munin,穆尼,Swedish Institute of Space Physics,Sweden,6 kg,11/21/00,Was operational,Collect data on auroral activity to predict space weather.,sat/munin.html,https://www.nanosats.eu/sat/munin.html,
MEPSI 1A (MEMS-based PicoSat Inspector),微机电系统皮卫星探测器1A,DARPA,US,0.8 kg,11/23/02,"Reentered, Was semi-operational",Demonstrate technologies for miniature autonomous inspector.,sat/mepsi.html,https://www.nanosats.eu/sat/mepsi.html,
"AAUSAT 1 (AAU-CubeSat, AAU CubeSat)",奥尔堡大学立方星,Aalborg University,Denmark,1U,3/30/03,Was operational,Educational space systems engineering with ADCS and imaging.,sat/aausat1.html,https://www.nanosats.eu/sat/aausat1.html,
CanX-1,加拿大纳星实验1号,Space Flight Laboratory,Canada,1U,3/30/03,No signal,Demonstrate novel technologies for ADCS.,sat/canx-1.html,https://www.nanosats.eu/sat/canx-1.html,
CUTE-I (Cubical Tokyo Tech Engineering Satellite-I),东工大立方星1号,Tokyo Institute of Technology,Japan,1U,3/30/03,Operational,Communication and solar panel deployment.,sat/cute-i.html,https://www.nanosats.eu/sat/cute-i.html,
DTUSat-1,丹麦技术大学卫星1号,Technical University of Denmark,Denmark,1U,3/30/03,No signal,Tether deployment to test deorbiting method.,sat/dtusat-1.html,https://www.nanosats.eu/sat/dtusat-1.html,
QuakeSat,震动卫星1号,Stanford University,US,3U,3/30/03,Was operational,Detecting earthquake ELF emission data. First 3U CubeSat.,sat/quakesat.html,https://www.nanosats.eu/sat/quakesat.html,
XI-IV,X因子研究者4号,University of Tokyo,Japan,1U,3/30/03,Operational,Demonstrate CubeSat platform technologies and COTS camera.,sat/xi-iv.html,https://www.nanosats.eu/sat/xi-iv.html,
UNOSAT 1 (Undergraduate Orbital Student Satellite),本科生轨道卫星1号,Universidade Norte do Paraná,Brazil,8.83 kg,8/22/03,Launch failure,Simple beacon transmitter of telemetry packets.,sat/unosat-1.html,https://www.nanosats.eu/sat/unosat-1.html,
"TNS-0 (TEKh-42, Technologicesky Nanosputnik)",技术试验纳卫星,Moscow Russian Scientific Research Institute,Russia,4.5 kg,2/28/05,"Reentered, Was operational",Testing Globalstar constellation to operate satellite.,sat/tns-0.html,https://www.nanosats.eu/sat/tns-0.html,
nCube-2,N立方2号,Norwegian University of Science and Technology (NTNU),Norway,1U,10/27/05,Deployment failure,Educational space systems engineering and AIS receiver.,sat/ncube-2.html,https://www.nanosats.eu/sat/ncube-2.html,
UWE-1,维尔茨堡大学试验星1号,University of Würzburg,Germany,1U,10/27/05,Was operational,Demonstrate CubeSat platform technologies and solar cells.,sat/uwe-1.html,https://www.nanosats.eu/sat/uwe-1.html,
"XI-V (Cubesat-OSCAR-58, Cubesat XI-V)",X因子研究者5号,University of Tokyo,Japan,1U,10/27/05,Was operational,Demonstrate CubeSat platform technologies and COTS camera.,sat/xi-v.html,https://www.nanosats.eu/sat/xi-v.html,
CUTE-1.7+APD,东工大立方星1.7号,Tokyo Institute of Technology,Japan,2U,2/21/06,"Reentered, Was operational",Demonstration of PDA (Personal Digital Assistant) as an onboard computer and other experiments.,sat/cute-17-apd.html,https://www.nanosats.eu/sat/cute-17-apd.html,
AeroCube-1,航天立方1号,Aerospace Corporation,US,1U,7/26/06,Launch failure,Demonstrate CubeSat platform technologies and CMOS camera.,sat/aerocube-1.html,https://www.nanosats.eu/sat/aerocube-1.html,
CP1,加州理工大学1号,California Polytechnic State University (Cal Poly),US,1U,7/26/06,Launch failure,Demonstrate CubeSat platform technologies with focus on sun sensor and magnetorquers.,sat/cp1.html,https://www.nanosats.eu/sat/cp1.html,
CP2,加州理工大学2号,California Polytechnic State University (Cal Poly),US,1U,7/26/06,Launch failure,Demonstrate CubeSat platform technologies and energy dissipation experiment.,sat/cp2.html,https://www.nanosats.eu/sat/cp2.html,
"HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1)",韩空大1号,Korea Aerospace University,South Korea,1U,7/26/06,Launch failure,Demonstrate CubeSat platform technologies with focus on ADCS.,sat/hausat-1.html,https://www.nanosats.eu/sat/hausat-1.html,
ICECube 1 (Ionospheric sCintillation Experimental CubeSat),"冰立方1,2号",Cornell University,US,1U,7/26/06,Launch failure,Educational space systems engineering and GPS scintillation experiment.,sat/icecube.html,https://www.nanosats.eu/sat/icecube.html,
ION,伊利诺伊观测纳卫星,University of Illinois Urbana-Champaign,US,2U,7/26/06,Launch failure,Measuring oxygen airglow emissions and testing thruster module.,sat/ion.html,https://www.nanosats.eu/sat/ion.html,
KUTESat,堪萨斯大学开拓者号,University of Kansas,US,1U,7/26/06,Launch failure,Educational space systems engineering and taking photos.,sat/kutesat.html,https://www.nanosats.eu/sat/kutesat.html,
"Mea Huaka'i (Mea Huaka, Voyager)",夏威夷大学1号,University of Hawai’i at Mānoa,US,1U,7/26/06,Launch failure,Demonstrate CubeSat bus and test active antenna for high speed communication.,sat/mea-huaka.html,https://www.nanosats.eu/sat/mea-huaka.html,
MEROPE (Montana Earth-Orbiting Pico-Explorer),墨洛珀号,Montana State University,US,1U,7/26/06,Launch failure,Measure the radiation of the Van Allen radiation belts.,sat/merope.html,https://www.nanosats.eu/sat/merope.html,
nCube-1,N立方1号,Norwegian University of Science and Technology (NTNU),Norway,1U,7/26/06,Launch failure,Educational space systems engineering and AIS receiver.,sat/ncube-1.html,https://www.nanosats.eu/sat/ncube-1.html,
PicPoT (Small Satellite of Politecnico di Torino),都灵理工学院小立方星,Politecnico di Torino,Italy,2.5 kg,7/26/06,Launch failure,Educational space systems engineering and taking photos.,sat/picpot.html,https://www.nanosats.eu/sat/picpot.html,
RinCon 1,林孔1号,University of Arizona,US,1U,7/26/06,Launch failure,Independent low-power beacon system in analog form.,sat/rincon-1.html,https://www.nanosats.eu/sat/rincon-1.html,
SACRED (AlcatelSat),空间辐照实验纳卫星,University of Arizona,US,1U,7/26/06,Launch failure,Measure the total amount of radiation and test radiation effect on four commercial integrated circuits.,sat/sacred.html,https://www.nanosats.eu/sat/sacred.html,
SEEDS,航天工程教育卫星,Nihon University,Japan,1U,7/26/06,Launch failure,Educational space systems engineering.,sat/seeds.html,https://www.nanosats.eu/sat/seeds.html,
HIT-Sat,北海道工业大学1号,Hokkaido Institute of Technology,Japan,2.7 kg,9/22/06,"Reentered, Was operational",Demonstrate CubeSat platform technologies.,sat/hit-sat.html,https://www.nanosats.eu/sat/hit-sat.html,
RAFT1,雷达屏障应答器1号,US Naval Academy Satellite Lab,US,4 kg,10/12/06,"Reentered, Operational",Calibrating of and tracking by Navy Space Surveillance (NSSS) radar fence.,sat/raft1.html,https://www.nanosats.eu/sat/raft1.html,
MARScom,雷达屏障应答器附属星,US Naval Academy Satellite Lab,US,3 kg,12/9/06,"Reentered, No signal",Educational space systems engineering with communications focus.,sat/marscom.html,https://www.nanosats.eu/sat/marscom.html,
MEPSI 2A,微机电系统皮卫星探测器2A,DARPA,US,1.1 kg,12/9/06,"Reentered, Was operational",Demonstrate technologies for miniature autonomous inspector.,sat/mepsi-2.html,https://www.nanosats.eu/sat/mepsi-2.html,
GeneSat-1,基因1号,NASA,US,3U,12/16/06,"Reentered, Operational","Perform experiment on E. Coli bacteria in space, first cubesat to carry a biological experiment.",sat/genesat-1.html,https://www.nanosats.eu/sat/genesat-1.html,
PehuenSat 1,南洋杉卫星1号,National University of Comahue,Argentina,6 kg,1/10/07,"Reentered, Was operational",Educational space systems engineering.,sat/pehuensat-1.html,https://www.nanosats.eu/sat/pehuensat-1.html,
